,state_abr,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,prod_year,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
68,CA,360000.0,51,18360000.0,4039000.0,1.39,25520000.0,2008,608.0,61475.8,3394.4,36480.3,17.1,101975.6
69,CA,370000.0,48,17760000.0,3730000.0,1.65,29304000.0,2011,14229.5,112450.6,7391.2,15457.0,0.0,149528.3
70,CA,380000.0,52,19760000.0,7706000.0,0.97,19167000.0,2006,0.0,45520.7,4963.9,13963.7,39.8,64488.1
71,CA,390000.0,45,17550000.0,5792000.0,1.05,18428000.0,2004,0.0,38897.8,4439.2,15984.1,0.0,59321.1
72,CA,400000.0,75,30000000.0,9300000.0,0.86,25800000.0,2005,0.0,42563.9,5460.7,13997.2,0.0,62021.8
73,CA,410000.0,67,27470000.0,6318000.0,1.55,42579000.0,2010,1410.8,93949.9,4521.7,11462.0,0.0,111344.4
74,CA,440000.0,70,30800000.0,11396000.0,0.59,18172000.0,2000,0.0,30796.5,0.0,0.0,0.0,30796.5
75,CA,450000.0,83,37350000.0,12326000.0,0.62,23157000.0,1998,0.0,61047.2,0.0,0.0,0.0,61047.2
76,CA,460000.0,61,28060000.0,7857000.0,0.69,19361000.0,2001,0.0,35178.6,0.0,0.0,0.0,35178.6
77,CA,465000.0,60,27900000.0,9486000.0,0.55,15345000.0,1999,0.0,41778.9,0.0,0.0,0.0,41778.9
78,CA,470000.0,50,23500000.0,3525000.0,1.32,31020000.0,2002,0.0,36653.3,5021.8,3007.5,0.0,44682.6
79,CA,480000.0,67,32160000.0,6432000.0,1.39,44702000.0,2003,0.0,38511.7,4615.1,12293.0,0.0,55419.8
80,CO,23000.0,80,1840000.0,791000.0,1.35,2484000.0,2004,1861.5,1657.0,1847.5,0.0,0.0,5366.0
81,CO,24000.0,60,1440000.0,576000.0,1.29,1858000.0,2002,0.0,1213.2,353.6,0.0,0.0,1566.8
82,CO,24000.0,86,2064000.0,722000.0,1.4,2890000.0,2003,0.0,381.1,485.3,0.0,0.0,866.4
83,CO,25000.0,48,1200000.0,468000.0,2.07,2484000.0,2012,12283.8,3915.9,5185.3,0.0,0.0,21385.0
84,CO,26000.0,43,1118000.0,324000.0,2.1,2348000.0,2013,9791.5,3276.3,6200.5,0.0,0.0,19268.3
85,CO,26000.0,55,1430000.0,529000.0,0.71,1015000.0,2001,0.0,1575.0,9.8,0.0,0.0,1584.8
86,CO,27000.0,37,999000.0,200000.0,2.11,2108000.0,2014,8658.2,1140.7,8689.7,0.0,0.0,18488.6
87,CO,27000.0,45,1215000.0,656000.0,1.51,1835000.0,2008,4894.1,960.4,2425.9,12.2,0.0,8292.6
88,CO,27000.0,72,1944000.0,1594000.0,0.7,1361000.0,1998,0.0,1724.5,0.0,0.0,0.0,1724.5
89,CO,27000.0,76,2052000.0,1436000.0,0.68,1395000.0,1999,0.0,913.9,0.0,0.0,0.0,913.9
90,CO,28000.0,53,1484000.0,326000.0,1.43,2122000.0,2009,7375.4,2561.9,2176.0,0.0,0.0,12113.3
91,CO,28000.0,70,1960000.0,902000.0,0.97,1901000.0,2005,5369.9,2381.9,622.5,0.0,0.0,8374.3
92,CO,29000.0,51,1479000.0,399000.0,2.26,3343000.0,2015,0.0,4567.8,207.0,0.0,0.0,4774.8
93,CO,29000.0,60,1740000.0,957000.0,0.62,1079000.0,2000,0.0,263.8,0.0,0.0,0.0,263.8
94,CO,31000.0,51,1581000.0,838000.0,1.15,1818000.0,2007,2223.3,1794.0,1077.1,0.0,0.0,5094.4
95,CO,31000.0,55,1705000.0,443000.0,2.0,3410000.0,2011,20234.1,3789.6,3456.8,0.0,0.0,27480.5
96,CO,32000.0,40,1280000.0,282000.0,2.24,2867000.0,2016,,,,,,
97,CO,33000.0,43,1419000.0,284000.0,2.06,2923000.0,2017,,,,,,
98,CO,34000.0,56,1904000.0,533000.0,1.52,2894000.0,2010,16623.2,3435.3,4125.3,0.0,0.0,24183.8
99,CO,36000.0,75,2700000.0,1458000.0,1.04,2808000.0,2006,3165.9,883.8,1464.0,0.0,0.0,5513.7
100,FL,150000.0,79,11850000.0,1304000.0,1.32,15642000.0,2008,134.3,31040.8,2152.0,181.1,0.0,33508.2
101,FL,160000.0,71,11360000.0,1363000.0,0.99,11246000.0,2007,84.4,42580.1,933.8,16.5,0.0,43614.8
102,FL,160000.0,86,13760000.0,2477000.0,0.87,11971000.0,2005,7.9,26821.9,1887.8,93.5,0.0,28811.1
103,FL,170000.0,68,11560000.0,1618000.0,1.42,16415000.0,2009,96.3,31796.6,2237.5,734.4,0.0,34864.8
104,FL,170000.0,81,13770000.0,1790000.0,1.0,13770000.0,2006,85.4,20595.0,625.4,156.2,0.0,21462.0
105,FL,180000.0,61,10980000.0,988000.0,1.68,18446000.0,2011,358.2,38183.4,13523.4,469.8,0.0,52534.8
106,FL,193000.0,64,12352000.0,1235000.0,1.84,22728000.0,2012,657.7,45642.4,11270.7,487.6,0.0,58058.4
107,FL,200000.0,69,13800000.0,1794000.0,1.56,21528000.0,2010,238.5,29766.4,3700.1,290.7,0.0,33995.7
108,FL,205000.0,43,8815000.0,529000.0,2.4,21156000.0,2017,,,,,,
